titulo;link;id
 GM Hustles to Pump Out Ventilators to Fight Coronavirus - 02:12 PM EDT;https://www.wsj.com/articles/gm-hustles-to-pump-out-ventilators-to-fight-coronavirus-amid-trump-barbs-11585586925?mod=pls_whats_news_us_business_f;wsj-com-articles-gm-hustles-to-pump-out-ventilators-to-fight-coronavi
 Democratic senators ask Pompeo to provide coronavirus aid to Palestinian Territories - 02:12 PM EDT;https://thehill.com/homenews/senate/490185-democratic-senators-ask-pompeo-to-provide-coronavirus-aid-to-palestinian;thehill-com-homenews-senate-490185-democratic-senators-ask-pompeo-to-
 Cuomo’s Favorability Numbers Explode amid Coronavirus Response - 02:11 PM EDT;https://www.nationalreview.com/news/cuomos-favorability-numbers-explode-amid-coronavirus-response/;nationalreview-com-news-cuomos-favorability-numbers-explode-amid-coro
 President Trump Argues that More Voting Means More Republican Losses - 02:11 PM EDT;https://www.motherjones.com/2020-elections/2020/03/trump-voting-levels-coronavirus/;motherjones-com-2020-elections-2020-03-trump-voting-levels-coronaviru
 Other Countries Are Spending More Than Us On Coronavirus Rescue Packages - 02:11 PM EDT;https://www.motherjones.com/kevin-drum/2020/03/other-countries-are-spending-more-than-us-on-coronavirus-rescue-packages/;motherjones-com-kevin-drum-2020-03-other-countries-are-spending-more-
 Stars react to Joe Diffie’s death: ‘Another great legend’s voice has gone silent’ - 02:10 PM EDT;https://www.mercurynews.com/2020/03/30/stars-react-to-joe-diffie-death-from-covid-19-another-great-legends-voice-has-gone-silent/;mercurynews-com-2020-03-30-stars-react-to-joe-diffie-death-from-covid
 State trooper pulled over a doctor for speeding. Then he gave her his N95 medical masks - 02:10 PM EDT;https://www.mercurynews.com/2020/03/30/state-trooper-pulled-over-a-doctor-for-speeding-then-he-gave-her-his-n95-medical-masks/;mercurynews-com-2020-03-30-state-trooper-pulled-over-a-doctor-for-spe
 Coronavirus robs Bay Area of send-off for Nicholas McGegan - 02:10 PM EDT;https://www.mercurynews.com/2020/03/30/coronavirus-robs-bay-area-of-send-off-for-nicholas-mcgegan/;mercurynews-com-2020-03-30-coronavirus-robs-bay-area-of-send-off-for-
 Coronavirus: Deadly virus or hay fever? Allergy sufferers worry - 02:10 PM EDT;https://www.mercurynews.com/2020/03/30/coronavirus-deadly-virus-or-hay-fever-allergy-sufferers-worry/;mercurynews-com-2020-03-30-coronavirus-deadly-virus-or-hay-fever-alle
 How Do You Wash Your Hands To Fend Off Coronavirus If Water Is Scarce? - 02:10 PM EDT;https://www.npr.org/sections/goatsandsoda/2020/03/30/819151076/how-do-you-wash-your-hands-to-fend-off-coronavirus-if-water-is-scarce?utm_medium=RSS&utm_campaign=news;npr-org-sections-goatsandsoda-2020-03-30-819151076-how-do-you-wash-yo
 ‘This can’t be the end’: How small gestures can help small businesses in a big way during coronavirus downturn - 02:10 PM EDT;https://www.seattletimes.com/opinion/this-cant-be-the-end-how-small-gestures-can-help-small-businesses-in-a-big-way-during-coronavirus-downturn/?utm_source=RSS&utm_medium=Referral&utm_campaign=RSS_all;seattletimes-com-opinion-this-cant-be-the-end-how-small-gestures-can-
 Coronavirus creating new tensions between employers and workers - 02:10 PM EDT;https://www.seattletimes.com/business/local-business/coronavirus-creating-new-tensions-between-employers-and-workers/?utm_source=RSS&utm_medium=Referral&utm_campaign=RSS_all;seattletimes-com-business-local-business-coronavirus-creating-new-ten
 Moscow goes into lockdown, rest of Russia braces for same - 02:10 PM EDT;https://www.seattletimes.com/nation-world/world/moscow-goes-into-lockdown-rest-of-russia-braces-for-same/?utm_source=RSS&utm_medium=Referral&utm_campaign=RSS_all;seattletimes-com-nation-world-world-moscow-goes-into-lockdown-rest-of
 UK banks expect regulator to order dividend freeze  - 02:09 PM EDT;https://www.ft.com/content/6f2d69f3-37d7-4da6-9e3f-b1b879aed40b;ft-com-content-6f2d69f3-37d7-4da6-9e3f-b1b879aed40b
 Big names and hackers unite in the drive for ventilators  - 02:09 PM EDT;https://www.ft.com/content/071c91f3-0455-44a4-97ef-bfe1f4b8ec91;ft-com-content-071c91f3-0455-44a4-97ef-bfe1f4b8ec91
 Compete in Startup Battlefield and Launch at Disrupt SF 2020 - 02:08 PM EDT;https://techcrunch.com/2020/03/30/compete-in-startup-battlefield-and-launch-at-disrupt-sf-2020/;techcrunch-com-2020-03-30-compete-in-startup-battlefield-and-launch-a
 What does the coronavirus outbreak mean for climate change? - 02:08 PM EDT;https://www.technologyreview.com/s/615409/radio-corona-so-what-about-climate-change/;technologyreview-com-s-615409-radio-corona-so-what-about-climate-chan
 Things That Used to Be Annoying But Are Now a Comfort - 02:07 PM EDT;https://www.newyorker.com/humor/daily-shouts/things-that-used-to-be-annoying-but-are-now-a-comfort;newyorker-com-humor-daily-shouts-things-that-used-to-be-annoying-but-
 Zimbabwe launches 21-day nationwide lockdown0 - 02:07 PM EDT;https://www.aljazeera.com/news/2020/03/zimbabwe-launches-21-day-nationwide-lockdown0-200330174200621.html;aljazeera-com-news-2020-03-zimbabwe-launches-21-day-nationwide-lockdo
 Who is Dr Anthony Fauci, the US's trusted voice on coronavirus? - 02:07 PM EDT;https://www.aljazeera.com/news/2020/03/dr-anthony-fauci-trusted-voice-coronavirus-200330124431910.html;aljazeera-com-news-2020-03-dr-anthony-fauci-trusted-voice-coronavirus
 Why recovered patients' blood may be key to fighting coronavirus - 02:05 PM EDT;https://www.cbsnews.com/news/coronavirus-antibodies-recovered-covid-19-patients-may-be-key-to-fighting-virus/;cbsnews-com-news-coronavirus-antibodies-recovered-covid-19-patients-m
 Biden debuts podcast to boost relevancy during coronavirus pandemic - 02:05 PM EDT;https://www.foxnews.com/politics/biden-debuts-podcast-to-boost-relevancy-during-coronavirus-pandemic;foxnews-com-politics-biden-debuts-podcast-to-boost-relevancy-during-c
 Australian astrophysicist sent to the hospital after coronavirus invention goes horribly wrong - 02:05 PM EDT;https://www.foxnews.com/world/australia-astrophysicist-hospital-invent-coronavirus-device-magnets-nose;foxnews-com-world-australia-astrophysicist-hospital-invent-coronaviru
 New Orleans doctor on Louisiana potentially becoming next coronavirus hotspot - 02:05 PM EDT;https://www.foxnews.com/media/doctor-in-louisiana-weighs-in-on-the-state-potentially-becoming-the-next-coronavirus-hotspot;foxnews-com-media-doctor-in-louisiana-weighs-in-on-the-state-potentia
 The True Story Behind 'Last Week Tonight's' Rat Erotica Painting - 02:05 PM EDT;https://www.newsweek.com/last-week-tonight-john-oliver-rat-erotica-brian-swords-painting-furry-art-auction-1495063?utm_source=Public&utm_medium=Feed&utm_campaign=Distribution;newsweek-com-last-week-tonight-john-oliver-rat-erotica-brian-swords-p
 Dine with Emilia Clarke by donating to COVID-19 relief fund - 02:05 PM EDT;https://pagesix.com/2020/03/30/dine-with-emilia-clarke-by-donating-to-covid-19-relief-fund/;pagesix-com-2020-03-30-dine-with-emilia-clarke-by-donating-to-covid-1
 Chilean musician serenades elderly parents to beat coronavirus blues - 02:05 PM EDT;https://nypost.com/2020/03/30/chilean-musician-serenades-elderly-parents-to-beat-coronavirus-blues/;nypost-com-2020-03-30-chilean-musician-serenades-elderly-parents-to-b
 Biden-Burisma probe put on back burner amid coronavirus outbreak - 02:05 PM EDT;https://nypost.com/2020/03/30/biden-burisma-probe-put-on-back-burner-amid-coronavirus-outbreak/;nypost-com-2020-03-30-biden-burisma-probe-put-on-back-burner-amid-cor
 Finland extends coronavirus restrictions by one month: PM - 02:00 PM EDT;https://www.reuters.com/article/us-health-coronavirus-finland/finland-extends-coronavirus-restrictions-by-one-month-pm-idUSKBN21H307?feedType=RSS&feedName=topNews;reuters-com-article-us-health-coronavirus-finland-finland-extends-cor
 Student loans get put on hold in coronavirus stimulus bill. Here's what to know. - 01:56 PM EDT;https://abcnews.go.com/GMA/Living/student-loans-put-hold-coronavirus-stimulus-bill/story?id=69836421;abcnews-go-com-GMA-Living-student-loans-put-hold-coronavirus-stimulus
 U.S. crude prices at Texas slide to near $10, lowest since late 1998 - 01:55 PM EDT;https://www.reuters.com/article/us-usa-cash-crude/u-s-crude-prices-at-texas-slide-to-near-10-lowest-since-late-1998-idUSKBN21H2YX?feedType=RSS&feedName=topNews;reuters-com-article-us-usa-cash-crude-u-s-crude-prices-at-texas-slide
 Macy's to furlough nearly 130,000 employees as virus keeps stores shut - 01:55 PM EDT;https://www.reuters.com/article/us-macy-s-layoff/macys-to-furlough-nearly-130000-employees-as-virus-keeps-stores-shut-idUSKBN21H2I7?feedType=RSS&feedName=topNews;reuters-com-article-us-macy-s-layoff-macys-to-furlough-nearly-130000-
 Amazon Workers in New York Have Started Walking Off the Job: 'This Is a Cry for Help' - 01:55 PM EDT;https://www.vice.com/en_us/article/n7jy9w/amazon-workers-in-new-york-have-started-walking-off-the-job-this-is-a-cry-for-help;vice-com-en_us-article-n7jy9w-amazon-workers-in-new-york-have-started
 The Guardian view on coronavirus policing: not a shame game - 01:55 PM EDT;https://www.theguardian.com/commentisfree/2020/mar/30/the-guardian-view-on-coronavirus-policing-not-a-shame-game;theguardian-com-commentisfree-2020-mar-30-the-guardian-view-on-corona
 'They are leading us to catastrophe': Sweden's coronavirus stoicism begins to jar - 01:55 PM EDT;https://www.theguardian.com/world/2020/mar/30/catastrophe-sweden-coronavirus-stoicism-lockdown-europe;theguardian-com-world-2020-mar-30-catastrophe-sweden-coronavirus-stoi
 Are State Shutdown Orders Constitutional? - 01:55 PM EDT;https://spectator.org/are-state-shutdown-orders-constitutional/;spectator-org-are-state-shutdown-orders-constitutional-
 Pandemic Exposes Dangers Of So-Called “Universal” Background Checks - 01:55 PM EDT;https://dailycaller.com/2020/03/30/pandemic-exposes-dangers-of-so-called-universal-background-checks/;dailycaller-com-2020-03-30-pandemic-exposes-dangers-of-so-called-univ
 For Florida’s uninsured, hospitalization for COVID-19 can be a $35,000 sucker punch - 01:55 PM EDT;https://www.miamiherald.com/news/coronavirus/article241576496.html#storylink=rss;miamiherald-com-news-coronavirus-article241576496-html-storylink-rss
 Universal Music Group Details Plan to Help Artists During Coronavirus Outbreak - 01:54 PM EDT;https://www.rollingstone.com/music/music-news/universal-music-group-coronavirus-relief-plan-all-together-now-975198/;rollingstone-com-music-music-news-universal-music-group-coronavirus-r
 Florida Sheriff to Arrest Rodney Howard Browne, Megachurch Pastor Who Flouted Virus Rules - 01:54 PM EDT;https://www.thedailybeast.com/hillsborough-sheriff-to-arrest-rodney-howard-browne-megachurch-pastor-who-flouted-virus-rules?source=articles&via=rss;thedailybeast-com-hillsborough-sheriff-to-arrest-rodney-howard-browne
 Coronavirus: Instacart’s response ‘a sick joke,’ strike still on today, workers say - 01:54 PM EDT;https://www.mercurynews.com/2020/03/30/coronavirus-instacarts-response-a-sick-joke-strike-still-on-today-workers-say/;mercurynews-com-2020-03-30-coronavirus-instacarts-response-a-sick-jok
 Coronavirus: Rent strike idea gaining support - 01:54 PM EDT;https://www.mercurynews.com/2020/03/30/coronavirus-rent-strike-idea-gaining-support/;mercurynews-com-2020-03-30-coronavirus-rent-strike-idea-gaining-suppo
 Former CDC Chief Dr. Tom Frieden: Coronavirus straight talk – the letter that should be sent to every American - 01:54 PM EDT;https://www.foxnews.com/opinion/coronavirus-letter-american-tom-frieden;foxnews-com-opinion-coronavirus-letter-american-tom-frieden
 Stimulus checks approved to ease impact of coronavirus restrictions: Here’s how to access them - 01:54 PM EDT;https://www.foxnews.com/politics/stimulus-checks-approved-to-ease-impact-of-coronavirus-restrictions-heres-how-to-access-them;foxnews-com-politics-stimulus-checks-approved-to-ease-impact-of-coron
 Muzmatch adds a button to video chat with a match’s dad - 01:53 PM EDT;https://techcrunch.com/2020/03/30/muzmatch-adds-a-button-to-video-chat-with-a-matchs-dad/;techcrunch-com-2020-03-30-muzmatch-adds-a-button-to-video-chat-with-a
 ‘I’m Worried About Our Safety’ - 01:53 PM EDT;https://www.theatlantic.com/ideas/archive/2020/03/im-worried-about-our-safety/609031/?utm_source=feed;theatlantic-com-ideas-archive-2020-03-im-worried-about-our-safety-609
 Trump Wants To Use Existing Drugs To Fight COVID-19. Here’s Why We Need To Test Them First. - 01:53 PM EDT;https://fivethirtyeight.com/features/trump-wants-to-use-existing-drugs-to-fight-covid-19-heres-why-we-need-to-test-them-first/;fivethirtyeight-com-features-trump-wants-to-use-existing-drugs-to-fig
 Trump says 200,000 Americans could die from coronavirus, because he’s done “a very good job” - 01:52 PM EDT;https://www.vox.com/2020/3/30/21199586/us-coronavirus-deaths-trump-200000-good-job;vox-com-2020-3-30-21199586-us-coronavirus-deaths-trump-200000-good-jo
" Amid outbreak, China shifts to use ""Russian-style"" disinformation tactics - 01:52 PM EDT";https://www.cbsnews.com/news/coronavirus-covid-19-outbreak-china-russian-style-disinformation-tactics/;cbsnews-com-news-coronavirus-covid-19-outbreak-china-russian-style-di
 Governor Cuomo: Coronavirus is not just a New York City problem - 01:52 PM EDT;https://www.cbsnews.com/video/coronavirus-new-york-governor-cuomo-no-one-is-immune/;cbsnews-com-video-coronavirus-new-york-governor-cuomo-no-one-is-immun
 New York Gov. Cuomo: ‘No American is immune’ to coronavirus - 01:52 PM EDT;http://www.msnbc.com/msnbc/watch/new-york-gov-cuomo-speaks-as-field-hospital-opens-at-nyc-convention-center-81380421860;http-msnbc-com-msnbc-watch-new-york-gov-cuomo-speaks-as-field-hospita
 Pier 1 Imports cancels bankruptcy auction amid coronavirus crisis - 01:52 PM EDT;https://nypost.com/2020/03/30/pier-1-imports-cancels-bankruptcy-auction-amid-coronavirus-crisis/;nypost-com-2020-03-30-pier-1-imports-cancels-bankruptcy-auction-amid-
 Coronavirus in NY: State sees spike of 250 deaths, with 66,000 now infected - 01:52 PM EDT;https://nypost.com/2020/03/30/coronavirus-in-ny-state-sees-spike-of-250-deaths-with-66000-now-infected/;nypost-com-2020-03-30-coronavirus-in-ny-state-sees-spike-of-250-death
 Heather Locklear makes rare appearance in video dedicated to coronavirus workers - 01:52 PM EDT;https://pagesix.com/2020/03/30/heather-locklear-makes-rare-appearance-in-video-dedicated-to-coronavirus-workers/;pagesix-com-2020-03-30-heather-locklear-makes-rare-appearance-in-vide
 Saudi Arabia will finance coronavirus treatments for anyone infected in country - 01:52 PM EDT;https://nypost.com/2020/03/30/saudi-arabia-will-finance-coronavirus-treatments-for-anyone-infected-in-country/;nypost-com-2020-03-30-saudi-arabia-will-finance-coronavirus-treatment
 Coronavirus in NY: Amazon’s Staten Island employees strike over response - 01:52 PM EDT;https://nypost.com/2020/03/30/coronavirus-in-ny-amazons-staten-island-employees-strike-over-response/;nypost-com-2020-03-30-coronavirus-in-ny-amazons-staten-island-employe
 Nasal swabs are being 3D-printed amid coronavirus outbreak - 01:52 PM EDT;https://nypost.com/2020/03/30/nasal-swabs-are-being-3d-printed-amid-coronavirus-outbreak/;nypost-com-2020-03-30-nasal-swabs-are-being-3d-printed-amid-coronavir
 Brazil's Bolsonaro: 'We're All Going to Die,' Take Coronavirus 'like a Man' - 01:50 PM EDT;https://www.breitbart.com/national-security/2020/03/30/brazils-bolsonaro-were-going-die-take-coronavirus-like-man/;breitbart-com-national-security-2020-03-30-brazils-bolsonaro-were-goi
 Facebook Pledges to Invest $100 Million in News Industry - 01:50 PM EDT;https://www.breitbart.com/tech/2020/03/30/facebook-pledges-to-invest-100-million-in-news-industry/;breitbart-com-tech-2020-03-30-facebook-pledges-to-invest-100-million-
 Coronavirus pandemic driving sales of small appliances for cooking, health and wellness - 01:49 PM EDT;http://www.marketwatch.com/news/story.asp?guid=%7B97E4D12E-72A7-11EA-BD4E-8A42B82EE1E4%7D&siteid=rss&rss=1;http-marketwatch-com-news-story-asp-guid-7B97E4D12E-72A7-11EA-BD4E-8A
 Coronavirus latest: More than 750,000 cases across the globe - 01:47 PM EDT;https://www.dw.com/en/coronavirus-latest-more-than-750-000-cases-across-the-globe/a-52951287?maca=en-rss-en-all-1573-rdf;dw-com-en-coronavirus-latest-more-than-750-000-cases-across-the-globe
 Locks down: buzzcuts become the coronavirus craze du jour - 01:47 PM EDT;https://www.theguardian.com/fashion/2020/mar/30/locks-down-shaving-hair-buzzcuts-coronavirus-craze;theguardian-com-fashion-2020-mar-30-locks-down-shaving-hair-buzzcuts-
 Thousands of rough sleepers still unhoused in England, say charities - 01:47 PM EDT;https://www.theguardian.com/world/2020/mar/30/thousands-of-rough-sleepers-still-unhoused-in-england-say-charities;theguardian-com-world-2020-mar-30-thousands-of-rough-sleepers-still-u
 Here's How China Is Rewriting the History of the Coronavirus Pandemic to Make Itself the Hero - 01:47 PM EDT;https://www.vice.com/en_us/article/8843dz/heres-how-china-is-rewriting-the-history-of-the-coronavirus-pandemic-to-make-itself-the-hero;vice-com-en_us-article-8843dz-heres-how-china-is-rewriting-the-histor
 Coronavirus: UK measures 'making a difference' - 01:47 PM EDT;https://www.bbc.co.uk/news/health-52096049;bbc-co-uk-news-health-52096049
 These Gut-Wrenching Photos Show What Happens When A Coronavirus Lockdown Backfires - 01:46 PM EDT;https://www.buzzfeednews.com/article/nishitajha/india-coronavirus-lockdown-migrant-workers;buzzfeednews-com-article-nishitajha-india-coronavirus-lockdown-migran
 Singer-Songwriter John Prine In Critical Condition After Contracting Coronavirus - 01:46 PM EDT;https://dailycaller.com/2020/03/30/songwriter-artist-john-prine-musician-critical-condition-coronavirus-covid-19-diagnosis/;dailycaller-com-2020-03-30-songwriter-artist-john-prine-musician-crit
 Passports, TSA PreCheck, Global Entry and Real ID: What you need to know - 01:46 PM EDT;https://www.washingtonpost.com/lifestyle/travel/passports-tsa-precheck-global-entry-and-real-id-what-you-need-to-know/2020/03/30/96aeefec-703b-11ea-b148-e4ce3fbd85b5_story.html?utm_source=rss&utm_medium=referral&utm_campaign=wp_lifestyle;washingtonpost-com-lifestyle-travel-passports-tsa-precheck-global-ent
 Fox News concerned about “potential legal action” over its misleading coronavirus coverage: report - 01:45 PM EDT;https://www.salon.com/2020/03/30/fox-news-concerned-about-potential-legal-action-over-its-misleading-coronavirus-coverage-report/;salon-com-2020-03-30-fox-news-concerned-about-potential-legal-action-
 Coronavirus patients may still be contagious up to EIGHT DAYS after symptoms disappear, study finds - 01:45 PM EDT;https://www.dailymail.co.uk/health/article-8168527/Coronavirus-patients-contagious-EIGHT-DAYS-symptoms-disappear-study-finds.html?ns_mchannel=rss&ito=1490&ns_campaign=1490;dailymail-co-uk-health-article-8168527-Coronavirus-patients-contagiou
 Social media users slam 'wasteful' panic-buyers who are still throwing away perfectly good food - 01:45 PM EDT;https://www.dailymail.co.uk/news/article-8168489/Social-media-users-slam-wasteful-panic-buyers-throwing-away-perfectly-good-food.html?ns_mchannel=rss&ito=1490&ns_campaign=1490;dailymail-co-uk-news-article-8168489-Social-media-users-slam-wasteful
 Scammers use COVID-19 stimulus package to target Floridians - 01:45 PM EDT;https://www.miamiherald.com/news/coronavirus/article241622966.html#storylink=rss;miamiherald-com-news-coronavirus-article241622966-html-storylink-rss
 Argentina Says It Aims to Avoid Default Amid Lockdown Extension - 01:45 PM EDT;https://www.bloomberg.com/news/articles/2020-03-30/argentina-says-it-aims-to-avoid-default-amid-lockdown-extension;bloomberg-com-news-articles-2020-03-30-argentina-says-it-aims-to-avoi
 Charlie Baker: Surge in Massachusetts coronavirus cases anticipated between April 7 and 17 - 01:45 PM EDT;https://www.bostonherald.com/2020/03/30/charlie-baker-surge-in-massachusetts-coronavirus-cases-anticipated-between-april-7-and-17/;bostonherald-com-2020-03-30-charlie-baker-surge-in-massachusetts-coro
 How Zac Posen Is Relieving Stress During the Coronavirus Crisis - 01:45 PM EDT;https://www.wsj.com/articles/how-zac-posen-is-relieving-stress-during-the-coronavirus-crisis-11585588207;wsj-com-articles-how-zac-posen-is-relieving-stress-during-the-coronav
 This Business Is Suing the Government Over a Coronavirus Closure Order - 01:45 PM EDT;https://reason.com/2020/03/30/this-business-is-suing-the-government-over-a-coronavirus-closure-order/;reason-com-2020-03-30-this-business-is-suing-the-government-over-a-co
 Coronavirus hits hundreds of U.S. police amid protective gear shortages - 01:44 PM EDT;https://www.reuters.com/article/us-health-coronavirus-usa-police-insight/coronavirus-hits-hundreds-of-u-s-police-amid-protective-gear-shortages-idUSKBN21H2X6?feedType=RSS&feedName=topNews;reuters-com-article-us-health-coronavirus-usa-police-insight-coronavi
 Italy sees 812 more coronavirus deaths, but new cases fall steeply - 01:44 PM EDT;https://www.reuters.com/article/us-health-coronavirus-italy/italy-sees-812-more-coronavirus-deaths-but-new-cases-fall-steeply-idUSKBN21H2EH?feedType=RSS&feedName=topNews;reuters-com-article-us-health-coronavirus-italy-italy-sees-812-more-c
 Poll: Voters say it's unsafe to hold primary elections amid coronavirus outbreak - 01:44 PM EDT;https://thehill.com/homenews/campaign/490182-poll-voters-say-its-unsafe-to-hold-primary-elections-amid-coronavirus;thehill-com-homenews-campaign-490182-poll-voters-say-its-unsafe-to-ho
 Coronavirus: Austria, in a shift, requires mask-wearing in supermarkets to cut pandemic’s spread - 01:44 PM EDT;https://www.scmp.com/news/world/europe/article/3077655/coronavirus-austria-shift-requires-mask-wearing-supermarkets-cut;scmp-com-news-world-europe-article-3077655-coronavirus-austria-shift-
 Coronavirus: Chinese ventilator makers working ‘around the clock’ amid global shortage - 01:44 PM EDT;https://www.scmp.com/news/china/society/article/3077638/coronavirus-chinese-ventilator-makers-working-around-clock-amid;scmp-com-news-china-society-article-3077638-coronavirus-chinese-venti
 Hollywood’s Coronavirus Troubles Will Stretch Into 2021 (and Beyond) - 01:44 PM EDT;https://observer.com/2020/03/coronavirus-box-office-delays-marvel-black-widow-mulan-f9-batman-jurassic/;observer-com-2020-03-coronavirus-box-office-delays-marvel-black-widow
 Bus driver who was Israel’s first serious virus patient makes full recovery - 01:44 PM EDT;https://www.timesofisrael.com/bus-driver-who-was-israels-first-serious-virus-patient-makes-full-recovery/;timesofisrael-com-bus-driver-who-was-israels-first-serious-virus-pati
 Coronavirus funding slight emboldens DC statehood fight - 01:44 PM EDT;https://www.rollcall.com/2020/03/30/coronavirus-funding-slight-emboldens-dc-statehood-fight/;rollcall-com-2020-03-30-coronavirus-funding-slight-emboldens-dc-state
